contatore,eventID,run
311,7,0
362,4,0
477,6,0
528,6,0
549,5,0
587,8,0
630,6,0
648,7,0
651,4,0
664,4,0
668,2,0
705,7,0
762,4,0
817,4,0
825,5,0
881,3,0
889,3,0
907,4,0
919,3,0
924,3,0
925,5,0
952,4,0
955,4,0
964,4,0
967,3,0
975,3,0
992,2,0
1005,3,0
1037,2,0
1044,4,0
1068,5,0
1074,3,0
1078,2,0
1094,5,0
1097,3,0
1139,6,0
1204,5,0
1224,3,0
1279,5,0
1280,6,0
1302,6,0
1352,5,0
1415,4,0
1431,3,0
1437,4,0
1447,3,0
1459,4,0
1686,3,0
1703,4,0
1710,3,0
1727,4,0
1738,4,0
1756,2,0
1776,5,0
1911,4,0
1916,2,0
1938,4,0
2133,3,0
2203,3,0
2231,4,0
2275,4,0
2315,3,0
2394,4,0
2472,4,0
2596,4,0
2634,4,0
2644,3,0
2686,2,0
2702,5,0
2730,5,0
2762,5,0
2805,3,0
2818,3,0
2840,3,0
2862,4,0
2867,4,0
2873,8,0
2923,4,0
2927,2,0
3097,2,0
3149,4,0
3226,2,0
3239,3,0
3268,3,0
3299,4,0
3313,5,0
3314,6,0
3315,7,0
3317,2,0
3321,4,0
3327,3,0
3340,4,0
3351,4,0
3352,5,0
3356,4,0
3361,4,0
3414,1,0
3455,2,0
3460,4,0
3467,6,0
3470,3,0
3496,4,0
3504,2,0
3539,3,0
3564,4,0
3671,5,0
3675,9,0
3701,3,0
3720,2,0
3727,4,0
3862,3,0
3872,4,0
3924,5,0
3935,5,0
3957,4,0
3975,2,0
4005,2,0
4019,3,0
4031,5,0
4055,4,0
4083,4,0
4096,3,0
4115,4,0
4126,3,0
4344,6,0
4366,3,0
4394,2,0
