k,contatore,eventID[0],eventID[1],run,factor,low[0],high[0],low[1],high[1],low[2],high[2]
0,311,7,0,130,2,2688,3776,2688,3776,2688,3776
1,311,7,0,130,2,2688,3776,2688,3776,2688,3776
0,362,4,0,124,2,3136,4032,3136,4032,3136,4032
1,362,4,0,124,2,3136,4032,3136,4032,3136,4032
1,476,4,0,2,3,3176,3600,3176,3600,3176,3600
2,476,4,0,2,3,3176,3600,3176,3600,3176,3600
0,477,6,0,2,3,3136,3712,3136,3712,3136,3712
1,477,6,0,2,3,3136,3712,3136,3712,3136,3712
0,528,6,0,170,2,3200,3712,3200,3712,3200,3712
1,528,6,0,170,2,3200,3712,3200,3712,3200,3712
0,549,5,0,175,2,3232,3472,3232,3472,3232,3472
1,549,5,0,175,2,3232,3472,3232,3472,3232,3472
2,549,5,0,175,2,3232,3472,3232,3472,3232,3472
0,587,8,0,22,2,3200,3712,3200,3712,3200,3712
1,587,8,0,22,2,3200,3712,3200,3712,3200,3712
0,630,6,0,145,2,3136,3712,3136,3712,3136,3712
1,630,6,0,145,2,3136,3712,3136,3712,3136,3712
0,648,7,0,138,3,3136,3712,3136,3712,3136,3712
1,648,7,0,138,3,3136,3712,3136,3712,3136,3712
2,648,7,0,138,3,3136,3712,3136,3712,3136,3712
0,651,4,0,121,2,3136,3712,3136,3712,3136,3712
1,651,4,0,121,2,3136,3712,3136,3712,3136,3712
1,654,4,0,282,3,3136,3712,3136,3712,3136,3712
0,664,4,0,124,3,3168,3680,3168,3680,3168,3680
1,664,4,0,124,3,3168,3680,3168,3680,3168,3680
0,668,2,0,185,2,3136,3712,3136,3712,3136,3712
1,668,2,0,185,2,3136,3712,3136,3712,3136,3712
0,705,7,0,120,3,3136,3904,3136,3904,3136,3904
1,705,7,0,120,3,3136,3904,3136,3904,3136,3904
0,762,4,0,41,3,3136,3456,3136,3456,3136,3456
1,762,4,0,41,3,3136,3456,3136,3456,3136,3456
0,817,4,0,167,2,3120,3504,3120,3504,3120,3504
2,817,4,0,167,2,3120,3504,3120,3504,3120,3504
0,825,5,0,297,2,3136,3456,3136,3456,3136,3456
1,825,5,0,297,2,3136,3456,3136,3456,3136,3456
1,844,4,0,25,3,3216,3488,3216,3488,3216,3488
2,844,4,0,25,3,3216,3488,3216,3488,3216,3488
1,876,4,0,287,4,3136,3520,3136,3520,3136,3520
0,881,3,0,141,3,3136,3456,3136,3456,3136,3456
1,881,3,0,141,3,3136,3456,3136,3456,3136,3456
0,889,3,0,165,3,3136,3712,3136,3712,3136,3712
1,889,3,0,165,3,3136,3712,3136,3712,3136,3712
2,889,3,0,165,3,3136,3712,3136,3712,3136,3712
0,907,4,0,285,3,3136,3712,3136,3712,3136,3712
1,907,4,0,285,3,3136,3712,3136,3712,3136,3712
0,919,3,0,59,3,3136,3520,3136,3520,3136,3520
1,919,3,0,59,3,3136,3520,3136,3520,3136,3520
0,924,3,0,26,3,3136,3712,3136,3712,3136,3712
1,924,3,0,26,3,3136,3712,3136,3712,3136,3712
0,925,5,0,26,3,3136,3520,3136,3520,3136,3520
1,925,5,0,26,3,3136,3520,3136,3520,3136,3520
2,925,5,0,26,3,3136,3520,3136,3520,3136,3520
0,952,4,0,140,3,3136,3552,3136,3552,3136,3552
1,952,4,0,140,3,3136,3552,3136,3552,3136,3552
0,955,4,0,343,3,3136,3712,3136,3712,3136,3712
1,955,4,0,343,3,3136,3712,3136,3712,3136,3712
0,964,4,0,170,3,3168,3616,3168,3616,3168,3616
1,964,4,0,170,3,3168,3616,3168,3616,3168,3616
0,967,3,0,8,3,3120,3456,3120,3456,3120,3456
1,967,3,0,8,3,3120,3456,3120,3456,3120,3456
0,975,3,0,64,3,3136,3744,3136,3744,3136,3744
1,975,3,0,64,3,3136,3744,3136,3744,3136,3744
2,975,3,0,64,3,3136,3744,3136,3744,3136,3744
0,992,2,0,183,4,3184,3632,3184,3632,3184,3632
1,992,2,0,183,4,3184,3632,3184,3632,3184,3632
0,1005,3,0,172,3,3136,3712,3136,3712,3136,3712
1,1005,3,0,172,3,3136,3712,3136,3712,3136,3712
0,1037,2,0,33,3,3136,3712,3136,3712,3136,3712
1,1037,2,0,33,3,3136,3712,3136,3712,3136,3712
0,1044,4,0,20,3,3136,3712,3136,3712,3136,3712
1,1044,4,0,20,3,3136,3712,3136,3712,3136,3712
0,1068,5,0,279,3,3136,3712,3136,3712,3136,3712
1,1068,5,0,279,3,3136,3712,3136,3712,3136,3712
0,1074,3,0,278,3,3136,3648,3136,3648,3136,3648
1,1074,3,0,278,3,3136,3648,3136,3648,3136,3648
0,1078,2,0,57,3,3136,3520,3136,3520,3136,3520
1,1078,2,0,57,3,3136,3520,3136,3520,3136,3520
0,1094,5,0,120,4,2944,3712,2944,3712,2944,3712
1,1094,5,0,120,4,2944,3712,2944,3712,2944,3712
0,1097,3,0,134,3,3168,3568,3168,3568,3168,3568
0,1139,6,0,27,3,3136,3712,3136,3712,3136,3712
1,1139,6,0,27,3,3136,3712,3136,3712,3136,3712
0,1204,5,0,325,3,3136,3520,3136,3520,3136,3520
1,1204,5,0,325,3,3136,3520,3136,3520,3136,3520
2,1204,5,0,325,3,3136,3520,3136,3520,3136,3520
